Űrlap	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A
045120 Út, autópálya építése	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1723	288989	290712	0	0	0	78385	9914	0	0	0	0	88299	379011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125408	0	0	23055	148463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527474	0	0	0	0	0	0	527474	0	0	0
045160 Közutak, hidak, alagutak üzemeltetése, fenntartása	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16200	16200	0	0	0	4374	0	0	0	0	0	4374	20574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20574	0	0	0	0	0	0	20574	0	0	0
046040 Hírügynökségi, információs szolgáltatás	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010	2010	543	0	0	0	0	0	543	2553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2553	0	0	0	0	0	0	2553	0	0	0
061030 Lakáshoz jutást segítő támogatások	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3200	3200	2831	0	0	2831	0	6031	6031	0	0	0	0	0	0	6031	0	0	0
064010 Közvilágítás	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3370	0	0	0	0	3370	3370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48929	0	0	9841	58770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62140	0	0	0	0	0	0	62140	0	0	0
066010 Zöldterület-kezelés	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549030	549030	0	0	0	148238	504	0	0	0	0	148742	697772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14992	0	250	3611	18853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	716625	0	0	0	0	0	0	716625	0	0	0
066020 Város-, községgazdálkodási egyéb szolgáltatások	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2670	0	2670	2670	649	649	0	0	0	0	0	0	8705	8705	0	0	0	0	0	0	0	0	0	34696	156127	190823	0	0	0	53189	42215	0	0	0	0	95404	294932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187147	0	3500	0	183647	187147	0	224508	0	0	11299	235807	165590	0	44709	210299	0	0	0	0	0	0	0	0	0	0	0	0	0	931504	0	0	0	0	0	0	931504	0	0	0
072111 Háziorvosi alapellátás	13365	5	340	138	0	122	474	0	78	13	0	48	466	15049	0	806	38	844	15893	4378	3980	0	197	43	24	134	1105	131	1236	1163	1842	3005	14854	0	53	1009	599	0	390	5588	22493	0	0	0	5933	10	0	0	0	594	6537	33271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	20	93	0	0	0	0	0	0	0	0	0	0	0	0	0	53635	0	0	0	0	0	0	53635	0	12	0
072112 Háziorvosi ügyeleti ellátás	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	67	267	0	1	2	0	0	72138	109	72517	0	0	0	452	0	0	0	0	0	452	73036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73036	0	0	0	0	0	0	73036	0	0	0
072210 Járóbetegek gyógyító szakellátása	545106	24955	8611	4979	0	19121	22916	0	3236	1082	0	2784	16990	649780	0	37896	1130	39026	688806	203878	173235	14949	6413	2906	925	5450	82022	8502	90524	16503	4421	20924	38243	0	1055	10058	15438	0	37468	33336	135598	28	0	28	42001	2193	3	0	0	13720	57917	304991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1959	18735	5587	26281	6148	2800	2416	11364	0	0	0	0	0	0	0	0	0	0	0	0	0	1235320	0	0	0	0	0	0	1235320	151	42	0
072230 Járóbetegek gyógyító gondozása	31810	12	811	328	0	291	1127	0	186	31	0	115	1108	35819	0	1918	90	2008	37827	10419	9473	0	467	103	58	318	2631	89	2720	521	32	553	1076	0	0	38	1087	0	13	1120	3334	0	0	0	1532	24	0	0	0	40	1596	8203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	47	220	0	0	0	0	0	0	0	0	0	0	0	0	0	56669	0	0	0	0	0	0	56669	13	0	0
